date,population,total_cases,new_cases,total_deaths,new_deaths,new_tests,total_tests,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations
13-05-2020,1380004385,78055,3763,2551,136,94671,1854250,0,0,0,0
14-05-2020,1380004385,81997,3942,2649,98,92791,1947041,0,0,0,0
15-05-2020,1380004385,85784,3787,2753,104,92911,2039952,0,0,0,0
16-05-2020,1380004385,90648,4864,2871,118,94325,2134277,0,0,0,0
17-05-2020,1380004385,95698,5050,3025,154,93365,2227642,0,0,0,0
18-05-2020,1380004385,100328,4630,3156,131,75150,2302792,0,0,0,0
19-05-2020,1380004385,106475,6147,3302,146,101475,2404267,0,0,0,0
20-05-2020,1380004385,112028,5553,3434,132,108121,2512388,0,0,0,0
21-05-2020,1380004385,118226,6198,3584,150,103532,2615920,0,0,0,0
22-05-2020,1380004385,124794,6568,3726,142,103514,2719434,0,0,0,0
23-05-2020,1380004385,131423,6629,3868,142,115364,2834798,0,0,0,0
24-05-2020,1380004385,138536,7113,4024,156,108623,2943421,0,0,0,0
25-05-2020,1380004385,144950,6414,4172,148,90170,3033591,0,0,0,0
26-05-2020,1380004385,150793,5843,4344,172,92528,3126119,0,0,0,0
27-05-2020,1380004385,158086,7293,4534,190,116041,3242160,0,0,0,0
28-05-2020,1380004385,165386,7300,4711,177,119976,3362136,0,0,0,0
29-05-2020,1380004385,173491,8105,4980,269,121702,3483838,0,0,0,0
30-05-2020,1380004385,181827,8336,5185,205,127761,3611599,0,0,0,0
31-05-2020,1380004385,190609,8782,5408,223,125428,3737027,0,0,0,0
01-06-2020,1380004385,198370,7761,5608,200,100180,3837207,0,0,0,0
02-06-2020,1380004385,207191,8821,5829,221,128868,3966075,0,0,0,0
03-06-2020,1380004385,216824,9633,6088,259,137158,4103233,0,0,0,0
04-06-2020,1380004385,226713,9889,6363,275,139485,4242718,0,0,0,0
05-06-2020,1380004385,236184,9471,6649,286,143661,4386379,0,0,0,0
06-06-2020,1380004385,246622,10438,6946,297,137938,4524317,0,0,0,0
07-06-2020,1380004385,257486,10864,7207,261,142069,4666386,0,0,0,0
08-06-2020,1380004385,265928,8442,7473,266,108048,4774434,0,0,0,0
09-06-2020,1380004385,276146,10218,7750,277,141682,4916116,0,0,0,0
10-06-2020,1380004385,286605,10459,8102,352,145216,5061332,0,0,0,0
11-06-2020,1380004385,297535,10930,8498,396,151808,5213140,0,0,0,0
12-06-2020,1380004385,308993,11458,8884,386,150305,5363445,0,0,0,0
